,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
285,1533.4,807.8,362.2,106.36,40.8,2850.56
719,1270.4,369.46,128.6,29.08,9.04,1806.58
417,709.8,59.22,16.7,3.36,1.04,790.12
680,330.4,32.76,10.9,2.12,0.62,376.8
356,71.4,113.54,89.9,39.52,18.26,332.62
111,80.0,107.94,67.5,23.64,11.24,290.32
182,88.6,83.86,68.5,24.56,10.38,275.9
682,75.4,63.14,44.2,17.84,8.96,209.54
394,68.8,64.82,45.7,16.76,8.22,204.3
628,62.0,69.58,46.4,16.52,8.08,202.58
35,82.0,65.66,37.2,9.92,4.86,199.64
307,100.2,50.68,28.5,11.6,5.34,196.32
41,75.2,54.32,37.5,13.68,6.58,187.28000000000003
112,80.4,53.76,28.8,11.56,4.96,179.48000000000005
454,69.0,52.92,33.7,12.48,5.46,173.56
238,55.8,52.92,39.9,15.24,7.4,171.26000000000005
304,48.4,59.64,41.1,14.68,7.02,170.84
153,71.6,46.06,30.4,12.72,5.16,165.94
440,65.4,52.92,31.2,11.12,4.84,165.48000000000005
107,40.2,51.8,43.1,18.44,8.96,162.5
479,59.6,45.64,35.7,13.6,6.44,160.98
439,2.4,30.66,64.8,37.12,24.7,159.67999999999995
335,40.6,47.04,40.6,16.52,7.92,152.68
460,50.4,48.86,34.7,12.0,6.6,152.55999999999997
23,69.4,50.54,22.5,7.04,2.26,151.73999999999995
97,46.8,46.2,36.2,15.44,6.74,151.38
163,81.4,38.36,21.0,7.32,2.94,151.01999999999995
580,66.4,38.78,29.9,10.48,4.88,150.44
190,28.8,47.88,41.2,17.72,8.88,144.48000000000005
113,45.2,57.12,31.9,6.88,2.64,143.73999999999995
345,57.4,44.66,25.8,9.68,3.9,141.44
687,66.0,38.5,25.0,7.88,3.68,141.06
446,55.2,41.44,26.8,12.0,5.22,140.66
667,27.4,39.2,41.0,20.84,11.28,139.72
240,33.2,47.18,32.3,13.84,6.92,133.44
365,59.8,32.76,23.9,7.6,3.56,127.62
104,44.2,40.18,25.0,11.6,5.26,126.24
759,56.6,35.7,22.1,7.32,3.42,125.14
100,45.0,44.38,22.7,8.88,3.2,124.16
552,62.6,35.56,16.7,5.6,2.8,123.26
225,49.8,38.64,19.5,8.64,4.22,120.8
146,39.8,40.32,27.5,7.0,3.22,117.84
166,42.0,32.9,28.1,10.24,4.46,117.7
84,34.8,35.7,28.8,12.2,5.94,117.44
487,15.4,40.32,36.0,17.08,8.58,117.38
20,58.6,33.04,17.7,5.84,2.2,117.38
478,26.8,33.46,32.6,15.68,8.46,117.00000000000004
151,70.4,24.22,15.4,4.88,2.08,116.98
308,29.2,43.96,28.1,10.28,5.26,116.8
16,30.6,34.86,31.4,12.16,5.88,114.9
729,53.0,33.88,17.1,7.36,2.58,113.92
89,37.0,36.26,25.3,10.24,5.04,113.84
563,22.6,44.38,30.1,10.0,4.1,111.18
343,38.6,33.32,23.5,9.84,4.68,109.94
433,31.8,26.18,28.2,13.32,6.08,105.58
616,32.2,34.16,24.6,10.04,4.54,105.54
670,19.4,33.88,29.8,14.64,7.7,105.42
317,56.4,24.22,16.2,5.32,2.34,104.48000000000002
625,40.2,31.08,20.6,8.56,3.2,103.64
499,13.0,32.2,33.7,15.64,8.34,102.88
449,,50.12,32.9,12.16,6.36,101.54
572,21.6,37.1,29.2,9.24,4.2,101.34
585,41.8,26.6,20.6,7.72,3.52,100.24
290,52.8,27.3,13.1,4.44,2.1,99.73999999999998
675,55.8,23.66,14.1,4.24,1.9,99.7
