,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
468,182.8,108.08,73.5,25.32,12.1,401.8
680,358.6,27.44,7.5,1.6,0.66,395.80000000000007
552,229.2,69.72,36.5,11.48,5.4,352.29999999999984
111,172.6,95.9,52.0,20.08,9.68,350.26
35,142.4,80.5,39.0,12.6,5.08,279.58
31,86.0,78.26,65.3,27.28,14.5,271.34000000000003
394,113.0,78.26,51.7,17.56,7.98,268.5
440,135.2,62.02,33.9,11.88,5.24,248.24
238,96.4,74.48,49.9,18.12,8.3,247.2
307,135.8,56.28,37.9,11.96,4.64,246.58
487,93.0,68.74,52.1,20.4,9.84,244.08
478,78.4,71.96,56.5,24.48,11.86,243.2
151,158.6,45.5,24.1,9.08,3.26,240.54
628,115.4,62.16,41.1,14.0,6.76,239.42
499,79.2,74.9,54.5,21.0,8.9,238.50000000000003
104,120.0,61.32,36.0,13.72,5.72,236.76
663,109.6,60.48,40.9,14.6,6.28,231.86
153,108.6,62.44,39.2,13.88,5.66,229.78
112,116.4,56.7,39.1,12.56,4.84,229.6
759,121.6,57.68,32.0,11.52,5.24,228.04
150,98.4,59.64,39.0,12.48,6.32,215.84
454,104.0,53.06,38.0,13.0,5.16,213.22
500,112.0,52.64,31.8,12.0,4.36,212.8
190,68.8,62.02,46.5,16.16,7.72,201.2
163,116.6,40.88,23.7,7.0,3.26,191.44
580,86.4,53.2,30.8,11.36,5.42,187.18000000000004
240,73.8,52.78,36.9,14.8,6.48,184.76
23,103.0,53.76,17.5,4.96,2.14,181.36
445,77.2,52.36,32.5,11.8,5.58,179.44000000000003
100,72.2,61.18,30.2,10.08,4.42,178.07999999999996
84,68.0,48.72,38.4,14.6,6.62,176.34
217,71.8,48.3,34.9,13.68,7.08,175.76000000000005
166,73.2,52.5,32.8,9.96,5.06,173.52
665,78.4,48.58,28.2,9.64,4.7,169.51999999999995
109,67.2,48.16,33.0,13.32,6.74,168.42000000000004
682,64.2,47.46,35.1,15.48,6.04,168.27999999999997
433,61.2,44.52,39.4,14.6,7.92,167.64
704,40.8,50.54,44.4,19.72,11.0,166.46
113,58.6,78.68,21.7,5.12,2.34,166.44
385,69.0,45.36,32.6,12.32,5.94,165.22
146,83.0,42.84,22.4,6.64,2.62,157.5
103,,60.2,55.9,26.12,13.64,155.86
107,51.0,46.9,35.9,13.76,6.82,154.38
335,56.2,41.44,32.2,13.64,5.88,149.36
670,43.6,46.2,36.5,15.52,7.48,149.3
121,66.4,46.06,23.6,9.44,3.78,149.28
