2017,W11,1344,1425
2017,W16,1291,1309
2017,Y16,1300,1413
2017,Z11,1243,1448
2017,R1W1,1437,1291
2017,R1W1,1437,1309
2017,R1W2,1181,1407
2017,R1W3,1124,1308
2017,R1W4,1196,1190
2017,R1W5,1438,1423
2017,R1W6,1374,1344
2017,R1W6,1374,1425
2017,R1W7,1376,1266
2017,R1W8,1458,1439
2017,R1X1,1211,1355
2017,R1X2,1112,1315
2017,R1X3,1199,1195
2017,R1X4,1452,1137
2017,R1X5,1323,1343
2017,R1X6,1268,1462
2017,R1X7,1388,1433
2017,R1X8,1321,1435
2017,R1Y1,1242,1300
2017,R1Y1,1242,1413
2017,R1Y2,1257,1240
2017,R1Y3,1332,1233
2017,R1Y4,1345,1436
2017,R1Y5,1235,1305
2017,R1Y6,1166,1348
2017,R1Y7,1276,1329
2017,R1Y8,1274,1277
2017,R1Z1,1314,1411
2017,R1Z2,1246,1297
2017,R1Z3,1417,1245
2017,R1Z4,1139,1457
2017,R1Z5,1278,1292
2017,R1Z6,1153,1243
2017,R1Z6,1153,1448
2017,R1Z7,1173,1455
2017,R1Z8,1116,1371
