,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
84,117.82,84.812,60.12,23.112,10.724,296.588
166,146.56,78.904,43.74,13.984,5.984,289.17199999999997
183,107.7,99.666,50.63,17.764,7.904,283.664
547,129.46,65.674,40.43,14.084,6.046,255.69400000000002
285,120.72,63.336,34.16,10.948,4.794,233.958
775,47.0,63.602,65.53,31.544,17.246,224.92200000000003
394,102.62,59.542,39.68,14.264,6.598,222.70400000000004
759,109.56,47.768,30.4,10.976,4.736,203.44
438,95.8,53.172,33.23,12.376,5.688,200.26599999999996
163,119.04,41.664,23.27,8.1,3.378,195.452
478,56.38,55.398,48.09,21.14,11.128,192.13599999999997
307,78.96,60.438,30.95,10.848,4.68,185.876
377,102.02,42.504,27.19,9.408,4.088,185.20999999999998
719,112.02,43.078,20.38,6.4,2.68,184.55800000000002
655,77.98,49.042,34.46,13.196,6.454,181.132
146,96.08,39.368,22.9,6.976,2.998,168.322
194,88.3,39.41,22.78,7.32,3.054,160.864
623,75.52,33.502,36.46,10.268,4.368,160.118
23,86.6,46.872,17.79,5.476,2.162,158.89999999999998
82,106.26,28.14,16.4,5.616,2.298,158.714
460,60.38,42.112,28.74,11.156,5.532,147.92000000000002
72,58.8,41.23,29.48,11.824,5.74,147.074
338,38.06,44.856,38.36,16.468,8.466,146.21
152,53.98,40.838,29.39,11.564,5.772,141.54399999999998
322,58.3,39.508,26.77,9.32,4.02,137.918
511,67.46,34.86,23.12,8.052,3.84,137.332
317,80.2,31.164,17.47,5.892,2.538,137.264
459,77.74,31.094,19.47,6.264,2.396,136.964
113,47.28,59.976,19.64,5.592,2.358,134.846
29,55.52,37.646,25.44,10.108,4.736,133.45
772,32.6,40.558,36.3,15.648,7.868,132.974
171,62.36,37.492,21.58,7.844,3.614,132.89000000000001
77,39.28,40.236,32.53,13.292,6.318,131.656
31,47.7,38.388,28.14,11.24,5.76,131.22799999999998
89,44.74,40.194,28.39,11.672,5.604,130.6
687,67.82,31.136,20.01,7.232,3.21,129.408
727,51.34,37.926,25.28,9.5,4.638,128.684
746,41.94,39.83,28.89,11.36,5.646,127.666
437,81.72,25.48,14.17,4.244,1.836,127.45
665,60.2,33.25,20.49,7.7,3.522,125.162
319,67.26,29.372,17.09,6.084,2.866,122.67200000000001
636,43.28,36.554,25.91,9.896,4.926,120.566
628,51.2,33.6,23.13,8.488,4.074,120.492
