,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
285,980.2,580.44,272.7,84.72,33.9,1951.9600000000007
719,989.6,335.72,126.3,32.6,12.08,1496.3
680,520.8,64.12,21.0,5.44,1.58,612.94
417,507.8,66.22,23.5,5.8,2.0,605.3199999999998
225,152.6,94.64,54.9,16.4,7.3,325.84
97,95.6,90.86,61.7,24.08,11.84,284.07999999999987
230,92.4,79.94,59.9,24.28,11.6,268.12
356,52.6,74.2,67.8,28.6,13.46,236.66000000000003
687,112.0,62.72,39.7,12.64,6.42,233.48
460,84.6,67.2,49.6,22.24,9.32,232.96
84,77.4,68.18,53.3,21.04,9.48,229.4
238,73.2,70.7,51.3,18.76,8.84,222.8
107,67.0,67.48,54.8,22.36,10.5,222.14000000000004
166,80.6,64.12,49.8,14.96,6.8,216.28
89,76.6,67.76,44.7,18.48,8.34,215.88
682,80.4,62.86,44.0,18.52,8.92,214.7
121,74.2,76.44,42.2,13.8,6.7,213.34
693,99.4,56.42,35.3,13.64,6.08,210.84
628,73.8,67.48,42.7,15.64,7.24,206.86
34,119.2,45.22,28.0,9.44,4.2,206.06
299,91.8,59.64,33.5,12.24,5.42,202.6
547,93.6,51.8,31.0,10.96,5.42,192.78
655,75.0,50.54,34.4,13.8,7.0,180.74
183,49.2,60.34,45.4,16.68,7.62,179.24
585,74.4,48.86,35.6,12.56,5.88,177.3
35,79.0,52.64,30.3,10.68,4.34,176.96
18,107.8,36.26,20.5,6.88,2.84,174.28
623,68.6,39.34,44.0,12.4,4.8,169.14
163,94.0,42.28,21.4,7.88,3.5,169.06
151,103.0,34.44,21.8,6.4,2.84,168.48000000000005
304,54.6,52.78,38.8,14.36,6.74,167.28000000000003
307,87.0,39.2,26.4,9.2,3.98,165.77999999999997
335,45.2,53.06,39.6,16.6,7.9,162.36
23,70.6,55.3,25.0,7.76,2.84,161.49999999999997
113,56.6,61.32,27.9,8.64,3.7,158.15999999999997
111,39.8,58.8,37.5,15.44,5.9,157.44
73,87.0,37.24,20.5,7.36,3.52,155.62000000000003
616,48.6,49.7,37.5,12.44,7.32,155.56
478,36.4,47.32,41.4,19.44,9.82,154.38
182,47.0,51.94,35.6,13.0,6.38,153.92
454,55.8,45.22,27.9,11.16,5.72,145.79999999999995
759,65.2,38.22,28.2,8.84,4.02,144.48000000000005
159,41.8,45.5,33.3,15.52,7.0,143.12
511,64.2,37.38,24.2,11.36,4.56,141.70000000000005
394,47.4,41.16,34.0,11.04,5.42,139.01999999999998
20,70.4,41.16,16.8,6.36,2.58,137.30000000000004
9,68.8,35.98,21.5,7.16,3.8,137.24
667,22.8,40.04,40.9,19.52,9.76,133.02
552,71.6,32.34,18.7,6.84,2.56,132.04
189,45.0,38.5,27.3,9.68,4.4,124.88
16,33.2,36.26,33.8,14.44,7.06,124.76
440,50.8,35.0,25.3,8.12,3.72,122.94
345,53.8,33.88,21.5,7.88,3.6,120.66
100,42.6,43.82,20.4,6.6,3.22,116.64
190,26.8,37.8,33.1,12.44,6.38,116.51999999999998
634,41.8,31.64,26.3,10.76,5.66,116.16
41,42.0,34.02,22.2,7.84,4.28,110.34000000000002
633,42.8,28.28,21.4,9.36,4.78,106.62
271,74.0,19.46,8.3,2.76,1.2,105.72
240,24.6,37.52,26.3,11.44,5.42,105.28
479,41.0,30.38,19.6,8.4,4.22,103.6
349,46.8,27.16,19.7,6.24,2.7,102.6
139,17.2,35.28,30.0,12.28,6.94,101.7
365,51.4,24.22,17.0,5.76,2.68,101.06000000000002
243,20.0,27.72,30.7,14.12,8.5,101.04
82,57.6,22.96,12.8,4.24,1.92,99.52
381,,60.9,26.6,8.2,3.68,99.38
421,27.2,29.82,24.8,11.56,5.2,98.58
327,55.4,24.08,12.5,3.76,1.64,97.38
746,32.6,27.72,22.7,10.08,4.2,97.3
648,37.2,27.86,20.6,7.28,3.66,96.6
446,33.2,29.68,19.7,7.48,4.22,94.28
439,2.2,21.0,34.8,20.6,15.3,93.9
663,29.4,27.16,23.3,8.92,4.26,93.04
425,25.0,29.96,22.5,8.68,4.72,90.86
317,47.2,21.98,13.1,4.64,2.38,89.3
131,15.6,29.4,24.7,11.56,7.74,89.0
653,0.2,49.28,29.4,6.72,3.16,88.75999999999998
146,29.8,30.8,19.4,5.0,2.48,87.48
343,28.0,25.06,22.0,7.92,4.2,87.18
109,23.2,27.02,22.0,9.52,5.38,87.11999999999998
625,38.2,22.68,16.7,6.44,2.54,86.56
305,35.8,22.54,17.3,6.56,3.32,85.52
636,24.6,25.76,20.8,8.76,3.84,83.76
727,16.8,25.34,25.9,9.8,5.18,83.01999999999998
643,37.4,21.28,14.7,5.6,2.8,81.77999999999999
308,19.0,29.68,20.7,7.68,3.54,80.60000000000002
195,51.4,14.98,9.3,3.08,1.1,79.85999999999999
760,10.0,26.04,25.9,11.4,5.94,79.28
743,38.4,18.76,12.5,5.64,2.32,77.61999999999998
468,18.0,23.52,22.4,8.88,4.5,77.3
675,42.8,19.18,9.7,3.92,1.44,77.03999999999998
657,16.8,24.22,20.7,8.6,4.3,74.61999999999998
153,35.6,17.36,13.8,4.96,2.6,74.32
110,14.0,19.46,23.6,10.68,5.92,73.66000000000003
433,17.8,24.5,17.5,8.76,5.02,73.58
104,25.0,23.38,15.1,5.88,2.96,72.32
580,28.6,21.42,14.7,4.52,2.3,71.53999999999998
296,2.6,21.56,28.0,12.32,7.06,71.53999999999998
772,14.4,21.98,19.5,10.24,5.08,71.2
45,36.2,17.5,11.1,4.08,1.58,70.46
258,35.4,17.22,12.2,3.24,1.46,69.51999999999998
94,42.4,14.42,7.5,2.84,1.32,68.47999999999999
101,7.8,18.9,24.3,10.16,7.1,68.25999999999999
274,41.4,16.1,7.0,2.32,1.16,67.97999999999999
650,23.6,20.72,14.1,5.8,3.08,67.3
194,20.4,22.68,15.6,5.92,2.48,67.08
459,26.4,21.14,12.0,4.88,2.32,66.74
377,33.2,16.66,10.1,4.6,1.7,66.26
152,19.0,20.3,15.9,5.92,3.9,65.02
150,23.8,17.78,14.0,6.28,3.08,64.94
43,11.4,19.18,19.7,8.76,4.42,63.46
416,13.6,21.98,16.9,6.84,4.06,63.38
665,25.2,17.08,11.4,5.96,2.62,62.26
572,10.0,24.78,18.0,5.88,2.88,61.540000000000006
367,10.4,17.22,17.7,10.48,5.6,61.4
574,29.8,15.4,9.6,4.36,1.72,60.88
290,28.8,17.92,10.4,2.24,1.4,60.76
670,10.4,17.36,19.1,9.44,3.82,60.12
500,15.6,22.68,12.7,5.56,2.44,58.98
465,11.2,19.74,17.1,6.56,3.24,57.84
112,22.0,16.94,12.6,3.96,2.18,57.68
203,9.8,15.54,17.4,9.68,5.18,57.6
244,17.6,18.2,11.4,6.56,3.06,56.82
143,15.8,16.52,12.8,7.56,3.28,55.96000000000001
765,12.8,18.9,15.3,5.68,2.94,55.62
385,15.4,16.24,14.1,6.08,3.06,54.88
164,16.4,14.84,14.9,5.6,2.96,54.7
118,14.8,15.96,13.6,6.48,2.98,53.82
560,10.4,14.84,15.3,8.04,4.78,53.36000000000001
40,10.6,15.26,16.9,6.6,3.52,52.88
723,23.8,13.72,9.2,3.96,2.02,52.7
210,14.2,13.44,13.2,6.0,3.62,50.46
658,11.8,14.0,14.9,5.84,3.48,50.02
551,14.0,17.92,12.0,3.96,2.0,49.88
29,16.6,13.72,12.3,4.76,2.4,49.78
487,6.0,16.94,15.8,7.04,3.96,49.74
362,29.6,12.04,5.5,1.8,0.46,49.4
3,20.2,14.7,9.7,3.16,1.56,49.31999999999999
288,16.0,14.7,10.3,5.56,2.48,49.04
588,19.4,14.7,9.5,3.32,1.58,48.49999999999999
758,11.2,13.72,14.3,5.84,3.12,48.18
83,20.8,13.44,9.3,2.76,1.78,48.08000000000001
306,17.8,13.3,9.7,4.2,1.88,46.88
449,,24.92,12.4,5.52,2.48,45.32
364,10.2,21.84,8.7,3.56,1.0,45.3
209,14.6,12.74,10.1,4.36,3.06,44.86
291,18.6,11.06,9.1,3.8,1.94,44.5
409,14.0,12.32,10.1,5.68,2.2,44.3
563,8.2,16.38,13.1,4.4,2.16,44.24
21,15.6,13.44,9.2,3.56,1.7,43.5
445,6.8,15.96,11.9,6.04,2.64,43.34
624,25.4,9.8,5.0,2.0,1.02,43.22000000000001
220,9.6,14.56,10.7,5.68,2.32,42.86
254,4.2,12.6,15.6,6.88,3.4,42.68
704,2.6,11.76,15.9,7.6,4.74,42.6
447,8.0,10.92,12.4,6.24,4.24,41.8
499,4.4,12.88,15.0,6.32,3.02,41.62000000000001
148,6.2,10.92,12.6,7.8,3.78,41.3
237,6.4,9.24,14.2,7.12,4.14,41.1
729,17.6,11.48,7.9,2.6,0.94,40.52
486,14.2,12.04,8.4,3.76,1.62,40.02
