,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
468,179.0,114.702,72.72,27.204,12.318,405.944
680,360.52,26.516,8.28,1.876,0.656,397.84799999999996
111,183.1,93.044,56.91,19.916,9.064,362.034
552,229.5,71.638,38.87,12.016,5.084,357.10800000000006
394,125.44,80.206,51.5,18.136,8.258,283.54
35,140.38,84.504,38.98,12.42,5.452,281.73600000000005
31,88.9,81.746,66.7,27.452,14.1,278.898
487,92.38,75.81,55.2,20.76,9.7,253.84999999999997
238,88.18,80.766,51.15,17.78,8.114,245.99000000000004
151,159.46,47.446,26.62,7.976,3.622,245.12400000000002
440,130.14,62.678,34.15,11.6,5.324,243.892
663,117.34,62.16,41.67,14.86,6.656,242.68600000000004
628,117.7,63.644,40.2,14.332,6.474,242.34999999999997
307,133.28,57.05,32.94,11.204,5.244,239.718
104,109.04,67.984,39.33,13.5,6.0,235.85399999999998
478,74.12,69.664,54.6,22.8,11.832,233.016
759,126.06,56.728,32.3,11.496,5.076,231.66000000000003
153,111.1,60.858,37.8,12.88,5.876,228.51399999999998
499,75.96,69.79,51.99,20.556,9.844,228.14000000000001
112,116.62,59.78,34.86,11.46,5.012,227.732
454,104.86,57.974,37.0,13.52,5.994,219.348
150,105.48,54.67,38.42,13.832,6.372,218.774
500,110.04,45.556,29.33,10.076,4.742,199.74399999999997
190,67.16,56.812,44.2,17.508,8.69,194.37
163,116.04,41.86,22.03,7.32,2.982,190.232
580,88.34,54.418,31.33,10.392,4.868,189.348
240,76.4,52.024,36.99,14.08,6.89,186.38400000000001
23,97.82,57.218,19.14,5.536,2.22,181.934
445,76.96,52.262,32.44,11.94,5.602,179.20399999999998
84,64.9,52.738,36.64,14.22,6.764,175.26200000000003
217,71.16,48.426,35.24,13.616,6.53,174.972
100,64.76,65.884,30.15,9.768,4.138,174.70000000000002
704,43.46,51.828,45.65,20.164,10.518,171.62000000000003
665,84.94,45.696,26.87,9.62,4.306,171.43200000000002
113,61.46,77.238,22.39,6.368,2.546,170.002
166,70.46,50.834,31.1,10.776,4.856,168.026
433,60.96,45.234,37.01,14.868,7.338,165.41
103,,62.23,58.39,26.68,13.726,161.026
682,59.76,47.768,33.1,13.308,6.262,160.19799999999998
109,57.76,47.544,33.95,13.792,6.582,159.62800000000001
146,82.76,40.194,21.56,6.768,2.832,154.114
670,46.48,46.158,37.58,15.676,7.908,153.802
385,60.54,42.658,31.44,12.024,5.89,152.552
43,47.9,45.15,36.22,14.864,7.562,151.696
335,55.38,43.764,32.14,12.308,5.762,149.35399999999998
20,88.52,36.554,16.36,5.148,2.166,148.748
107,49.2,43.582,34.5,13.788,6.524,147.59400000000002
194,70.68,38.514,25.31,8.376,3.684,146.56400000000002
121,64.0,42.336,25.27,8.62,3.646,143.87199999999999
449,,77.77,43.47,15.12,6.44,142.79999999999998
572,66.08,37.954,23.69,8.376,3.552,139.652
479,55.1,39.466,28.36,11.104,5.5,139.53
97,47.98,41.034,30.5,12.352,5.888,137.754
40,45.34,38.136,31.8,12.956,6.956,135.188
758,48.74,39.046,29.89,11.956,5.382,135.014
244,52.04,36.96,26.89,9.992,5.12,131.002
460,54.02,36.218,26.1,9.792,4.818,130.948
760,43.3,39.494,29.14,12.164,6.004,130.102
416,41.7,39.508,29.42,11.976,6.012,128.61599999999999
459,62.88,31.402,21.33,7.22,3.014,125.846
667,21.28,38.01,37.61,18.396,9.85,125.146
230,39.76,38.598,28.19,11.468,5.526,123.542
299,57.48,34.23,20.06,6.964,3.172,121.90599999999999
675,77.4,24.164,11.9,3.976,1.552,118.99200000000002
101,23.28,34.496,34.35,16.48,9.074,117.68
503,58.1,29.232,18.73,6.512,2.856,115.42999999999999
729,67.2,25.676,15.28,5.032,2.088,115.276
210,37.38,32.34,27.11,11.804,6.132,114.766
616,38.62,35.182,26.19,9.844,4.568,114.40399999999998
152,42.62,33.656,24.39,8.96,4.468,114.09400000000001
687,57.2,28.644,17.01,5.824,3.0,111.678
195,70.6,23.898,11.31,3.768,1.528,111.104
306,51.62,30.24,19.03,6.936,3.25,111.076
94,71.1,21.322,12.52,3.784,1.596,110.322
345,56.98,28.014,16.46,5.688,2.516,109.65800000000002
746,42.54,31.724,22.02,8.308,4.112,108.70399999999998
263,36.94,31.542,24.55,9.944,5.14,108.116
518,42.6,29.988,22.11,8.836,4.14,107.67399999999999
365,59.24,23.31,15.85,5.532,2.486,106.41799999999999
643,49.96,26.446,18.98,7.32,3.398,106.10400000000001
290,55.02,30.044,13.5,4.452,1.794,104.81
225,35.54,36.526,20.82,7.392,3.11,103.38799999999999
693,49.1,27.762,17.38,6.284,2.786,103.312
551,43.18,31.29,19.11,6.58,2.914,103.074
327,66.16,19.726,10.74,3.584,1.596,101.806
689,37.18,28.868,21.52,8.452,4.022,100.042
183,26.4,35.84,24.24,9.324,4.082,99.886
329,52.22,25.41,14.88,4.892,2.176,99.57799999999999
173,32.3,29.218,22.69,9.932,5.082,99.222
653,0.38,62.062,25.96,6.536,2.576,97.514
727,38.62,27.524,18.53,7.016,3.35,95.04
623,35.9,17.094,28.49,8.184,3.43,93.098
547,42.06,25.592,15.93,5.616,2.628,91.826
535,17.3,27.706,26.67,12.648,6.478,90.80199999999999
465,22.0,28.588,23.71,9.708,4.632,88.638
52,31.66,25.256,19.22,7.596,3.87,87.602
223,39.4,24.234,14.98,5.568,2.486,86.668
371,39.82,23.59,15.38,5.368,2.402,86.55999999999999
625,41.18,22.764,14.26,5.744,2.58,86.528
409,28.88,26.124,19.23,8.088,4.142,86.46399999999998
80,27.62,25.48,20.94,7.94,4.13,86.11
417,39.74,22.75,14.63,4.98,2.312,84.412
753,10.26,38.92,23.34,7.896,3.42,83.836
157,53.44,16.968,8.74,2.656,1.058,82.86200000000001
343,33.88,22.47,16.67,6.38,3.162,82.56200000000001
259,16.76,27.412,22.27,8.548,4.016,79.006
436,23.02,26.992,18.36,7.12,3.308,78.80000000000001
362,55.12,13.734,6.33,1.824,0.738,77.746
364,17.74,39.214,14.47,4.384,1.832,77.63999999999999
274,52.16,13.972,7.46,2.256,1.012,76.85999999999999
269,23.84,22.932,17.9,7.652,4.078,76.402
637,37.86,19.88,12.12,4.332,2.13,76.32199999999999
511,31.32,22.372,14.63,5.04,2.37,75.73200000000001
325,24.74,21.644,17.73,7.68,3.716,75.51
555,20.76,22.61,18.44,7.724,4.1,73.634
34,40.18,17.906,10.15,3.54,1.602,73.37800000000001
569,28.28,20.566,15.22,6.016,3.056,73.138
288,25.76,21.21,16.14,6.632,3.33,73.072
462,41.52,16.884,9.24,3.148,1.428,72.22
348,9.72,21.126,23.22,11.428,6.238,71.732
72,25.68,19.852,15.84,6.652,3.336,71.36
254,9.52,24.752,22.49,9.536,4.762,71.06
414,14.46,21.518,20.35,8.896,4.696,69.92
89,20.06,21.742,16.63,7.144,3.58,69.156
581,25.42,18.186,15.36,6.38,3.344,68.69
271,44.22,13.608,6.61,2.308,0.898,67.644
501,27.92,18.088,13.83,5.272,2.53,67.64
131,17.4,19.67,17.68,8.448,4.438,67.636
466,10.8,17.99,20.77,11.216,6.798,67.574
765,26.46,18.662,13.75,5.076,2.594,66.542
425,23.56,19.306,14.54,5.748,3.028,66.182
585,27.44,17.794,13.14,5.356,2.414,66.144
233,16.92,19.04,17.22,7.332,3.98,64.492
360,18.18,18.704,16.64,6.832,3.608,63.964
592,16.74,17.416,17.3,8.056,4.34,63.852000000000004
305,28.18,17.682,11.62,4.156,1.974,63.61199999999999
118,20.74,17.514,15.29,6.596,3.31,63.45
629,16.96,17.612,16.42,7.56,4.246,62.79800000000001
731,30.34,15.862,10.18,3.84,1.738,61.959999999999994
319,28.52,15.764,11.3,4.232,1.85,61.666000000000004
349,28.38,16.982,10.35,3.736,1.838,61.285999999999994
309,28.38,16.408,10.56,3.952,1.838,61.138
377,32.56,14.91,8.79,3.248,1.5,61.007999999999996
29,23.14,16.632,13.23,5.308,2.552,60.86200000000001
74,12.02,17.808,17.6,8.452,4.678,60.55799999999999
45,30.16,15.61,8.83,3.296,1.354,59.24999999999999
359,28.1,14.616,10.37,3.724,1.72,58.53
293,10.4,18.802,17.11,7.34,3.828,57.480000000000004
123,25.08,15.68,10.15,4.36,2.008,57.278
139,13.92,18.2,15.33,6.436,3.326,57.211999999999996
655,17.26,17.416,14.16,5.512,2.774,57.122
96,27.62,15.148,9.16,3.6,1.522,57.05
90,18.58,16.646,13.75,5.26,2.622,56.858
255,16.08,16.772,13.91,6.252,2.97,55.984
543,11.78,16.058,16.11,7.304,4.212,55.464
82,33.3,12.026,6.81,2.332,0.976,55.443999999999996
698,14.08,16.618,14.25,6.68,3.576,55.204
273,15.12,17.416,13.57,6.0,3.006,55.112
110,10.58,15.624,16.41,7.768,4.306,54.688
308,19.64,15.974,11.83,4.52,2.274,54.238
421,14.62,16.884,13.12,5.808,3.08,53.51199999999999
589,18.52,15.624,11.96,4.824,2.422,53.349999999999994
695,23.76,13.314,10.17,3.4,1.65,52.294
125,4.22,18.788,17.37,7.732,3.948,52.058
688,12.42,14.966,13.89,6.464,3.78,51.519999999999996
296,1.18,18.214,18.27,8.808,4.76,51.232
379,22.96,13.552,9.29,3.256,1.668,50.726
363,23.3,13.104,8.75,3.332,1.4,49.885999999999996
105,15.78,14.098,11.58,4.816,2.532,48.806
302,20.04,13.608,9.44,3.796,1.818,48.70199999999999
16,12.34,14.938,12.59,5.692,3.016,48.57599999999999
369,13.98,14.518,11.6,5.38,2.624,48.102000000000004
634,16.38,13.076,11.16,4.444,2.352,47.412
407,13.82,13.426,11.58,5.508,2.926,47.260000000000005
133,14.82,14.056,10.88,4.512,2.398,46.666000000000004
496,15.46,13.916,10.87,3.968,2.056,46.269999999999996
563,13.7,16.24,10.61,3.852,1.834,46.236
276,6.7,13.552,14.26,7.42,4.172,46.104
456,20.42,11.032,8.88,3.612,1.708,45.652
522,27.28,9.954,5.21,1.472,0.614,44.53
189,16.76,13.16,9.26,3.5,1.53,44.21
264,11.44,12.334,11.54,5.596,3.058,43.967999999999996
11,17.0,12.11,9.22,3.72,1.832,43.882
712,22.1,10.71,7.04,2.384,1.1,43.334
373,20.42,11.088,7.42,2.708,1.278,42.914
633,15.88,12.6,8.5,3.856,1.882,42.718
136,9.66,11.928,11.83,6.124,3.156,42.698
9,19.22,12.236,7.47,2.54,1.202,42.668
762,13.24,12.026,10.34,4.164,2.234,42.004
576,7.94,11.956,11.93,5.824,3.51,41.16
519,13.38,10.864,10.05,4.196,2.238,40.727999999999994
664,21.28,10.038,6.14,1.952,0.862,40.272
726,10.44,11.368,10.31,4.764,2.592,39.474000000000004
761,19.02,11.928,5.99,1.668,0.7,39.306000000000004
39,9.86,11.382,9.8,4.836,2.7,38.578
489,19.58,9.87,5.31,1.784,0.82,37.364
486,14.64,10.486,7.49,2.732,1.454,36.802
181,16.12,10.206,6.31,2.656,1.29,36.582
613,9.34,14.672,7.63,2.832,1.33,35.803999999999995
526,10.58,10.682,8.49,3.848,1.914,35.514
2,7.64,8.638,9.93,5.216,3.018,34.442
424,13.66,9.128,7.08,2.62,1.27,33.758
26,10.64,10.836,7.67,2.956,1.422,33.524
594,17.98,8.372,4.57,1.68,0.73,33.332
252,22.58,6.342,2.98,0.944,0.406,33.251999999999995
615,21.1,7.07,3.38,1.128,0.46,33.138
650,10.56,8.75,7.98,3.208,1.818,32.316
662,10.38,9.842,7.31,2.996,1.696,32.224
560,7.88,9.114,8.1,4.428,2.552,32.074000000000005
455,9.42,9.548,7.77,3.556,1.738,32.032000000000004
732,7.6,8.162,8.66,3.612,2.024,30.058
21,13.4,8.554,5.14,1.96,0.868,29.922
638,8.38,8.624,8.04,3.136,1.688,29.868
193,7.18,8.302,7.94,3.76,2.078,29.26
91,6.82,9.072,8.16,3.42,1.736,29.208000000000002
737,0.3,14.084,9.2,3.812,1.788,29.184
221,8.1,8.806,7.32,3.2,1.752,29.177999999999997
148,5.72,7.588,8.88,4.5,2.486,29.174000000000003
203,5.46,8.008,8.55,4.356,2.598,28.972
208,12.66,7.938,5.47,1.812,0.98,28.86
129,7.5,8.106,7.38,3.384,1.79,28.16
