,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
146,135.92,49.756,25.5,7.72,2.944,221.83999999999997
194,125.28,51.926,29.35,9.388,3.936,219.88000000000002
572,109.24,52.22,29.39,9.768,4.136,204.75399999999996
459,109.66,41.118,26.25,7.808,3.22,188.05599999999998
322,77.56,53.34,35.67,12.244,5.492,184.30599999999998
130,74.28,43.862,26.67,9.112,4.112,158.036
437,98.46,32.368,17.43,5.66,2.294,156.21200000000002
307,51.36,51.94,27.0,8.7,3.82,142.82
394,65.28,37.296,23.89,9.476,4.382,140.324
22,70.64,36.456,22.61,7.34,3.122,140.168
317,82.84,29.932,17.25,6.012,2.64,138.67399999999998
438,65.44,35.462,23.92,8.144,3.78,136.746
31,45.52,35.714,27.54,10.952,5.43,125.156
665,61.2,32.06,20.43,7.336,3.492,124.518
759,64.78,29.19,18.09,6.548,2.954,121.562
503,60.82,29.876,18.05,6.512,2.904,118.16199999999999
319,64.72,27.482,16.83,6.044,2.722,117.79799999999999
500,59.82,27.482,17.87,6.188,2.866,114.226
728,78.64,20.678,9.35,2.536,0.988,112.192
468,44.2,31.598,23.2,8.68,4.26,111.938
719,43.9,31.276,22.24,8.856,4.288,110.55999999999999
765,49.98,28.504,19.57,7.532,3.758,109.344
41,52.08,28.616,17.85,6.536,3.056,108.13799999999999
359,51.86,27.594,16.48,6.224,2.814,104.97200000000001
575,46.68,28.28,19.58,6.716,2.92,104.176
166,50.6,27.356,16.73,5.356,2.446,102.488
462,63.38,21.168,11.65,3.884,1.704,101.786
72,39.64,28.21,20.83,8.276,3.964,100.91999999999999
628,46.22,26.88,17.7,6.528,3.204,100.532
440,49.26,26.502,16.02,5.636,2.732,100.14999999999999
379,48.64,25.256,16.91,5.924,2.83,99.56
445,46.32,22.876,18.81,6.484,3.16,97.64999999999999
673,52.34,23.674,14.07,4.704,2.104,96.892
223,46.08,25.536,16.14,5.948,2.738,96.44200000000001
731,49.38,23.982,15.23,4.864,2.358,95.81400000000001
163,58.24,21.042,11.08,3.76,1.684,95.80600000000001
365,52.38,22.204,13.84,5.032,2.252,95.708
104,42.78,26.572,16.79,6.476,2.98,95.598
701,46.98,24.584,15.32,5.388,2.324,94.59599999999999
551,40.92,28.14,16.34,5.704,2.592,93.696
242,43.58,25.172,16.36,5.732,2.634,93.478
309,45.72,24.738,15.02,5.284,2.57,93.332
331,42.56,23.87,16.87,6.008,3.02,92.328
82,60.42,17.64,9.25,3.08,1.416,91.806
580,40.3,26.348,16.58,5.836,2.56,91.624
45,49.4,22.652,12.86,4.28,1.902,91.094
594,55.36,19.586,10.86,3.596,1.634,91.036
240,36.26,25.802,17.77,7.044,3.438,90.314
450,46.12,23.786,13.73,4.592,2.01,90.23800000000001
84,34.74,25.62,18.89,6.884,3.344,89.478
456,45.0,23.52,13.65,4.932,2.186,89.28800000000001
373,45.9,22.61,13.66,4.732,2.31,89.21199999999999
153,39.48,24.108,16.25,6.344,2.888,89.07
345,45.24,23.282,13.2,5.128,2.164,89.01400000000001
608,46.4,21.252,13.45,4.6,2.03,87.732
712,48.08,19.908,12.44,4.152,1.896,86.476
239,45.52,22.092,12.66,4.344,1.648,86.26399999999998
639,41.82,24.262,12.88,4.408,1.958,85.32799999999999
112,36.02,23.562,16.71,6.036,2.664,84.992
23,46.52,25.382,9.14,2.676,1.02,84.738
181,40.66,21.532,14.91,5.192,2.302,84.59599999999999
284,33.54,27.468,15.08,5.744,2.396,84.228
65,52.16,17.01,10.43,3.108,1.376,84.084
478,25.2,24.038,21.06,8.976,4.688,83.962
29,32.32,25.354,16.56,6.212,3.068,83.514
335,33.18,23.8,16.59,6.592,2.984,83.146
371,39.14,21.42,14.21,5.116,2.31,82.19600000000001
35,33.42,27.412,14.06,5.096,2.118,82.106
314,35.84,22.512,15.1,5.608,2.758,81.818
174,36.02,21.924,14.58,5.96,2.704,81.18799999999999
554,33.52,23.142,15.79,6.052,2.646,81.14999999999999
648,41.76,20.076,12.36,4.548,2.0,80.744
746,27.22,25.158,17.71,7.26,3.312,80.66
591,34.34,22.582,15.23,5.616,2.89,80.658
305,20.04,34.132,17.42,6.044,2.826,80.46199999999999
727,31.64,23.912,15.63,6.048,2.76,79.99000000000001
171,38.22,21.49,13.26,4.42,2.128,79.518
454,34.78,21.798,14.37,5.428,2.416,78.792
123,35.34,20.636,14.54,5.308,2.662,78.48599999999999
563,35.86,21.784,13.16,5.016,2.182,78.00200000000001
434,40.1,19.572,11.89,4.392,2.014,77.96799999999999
53,22.52,25.018,19.09,7.048,3.386,77.062
409,27.14,22.204,16.86,6.92,3.428,76.552
100,33.38,23.884,12.88,4.292,1.87,76.30600000000001
150,33.56,20.076,14.27,5.468,2.642,76.016
344,35.44,21.098,12.4,4.656,2.142,75.736
695,34.14,20.776,13.42,4.96,2.382,75.678
625,26.72,24.472,15.61,6.104,2.712,75.618
460,31.06,20.566,15.56,5.712,2.718,75.616
636,25.24,23.59,16.36,6.82,3.234,75.24399999999999
488,41.4,16.786,11.19,3.736,1.724,74.83600000000001
660,32.8,19.796,14.21,5.504,2.468,74.778
306,29.64,21.252,15.15,5.296,2.632,73.97000000000001
103,,31.864,25.51,11.016,5.476,73.866
94,46.82,14.854,8.29,2.644,1.222,73.83
288,26.94,21.224,15.85,6.596,3.148,73.758
552,43.82,15.96,9.17,3.16,1.264,73.374
491,42.38,16.856,9.46,3.168,1.418,73.28200000000001
113,25.34,33.348,10.31,3.032,1.134,73.164
183,24.02,25.676,15.54,5.472,2.398,73.10599999999998
564,18.04,28.7,16.94,5.612,2.644,71.93599999999999
21,35.44,19.376,10.8,3.92,1.718,71.254
329,31.74,20.902,12.02,4.244,1.976,70.88199999999999
290,26.84,27.678,11.33,3.456,1.568,70.872
385,25.74,20.706,14.9,6.124,3.062,70.532
516,27.62,22.12,13.59,4.844,2.322,70.496
436,20.54,23.926,16.07,6.504,3.142,70.18199999999999
364,27.58,26.194,11.36,3.488,1.512,70.134
17,33.52,19.866,10.87,3.956,1.742,69.95400000000001
675,42.78,16.128,7.59,2.316,1.056,69.87
696,19.16,20.776,18.07,7.632,3.794,69.432
446,23.08,22.792,14.41,5.812,2.724,68.818
343,27.3,19.18,14.14,5.5,2.58,68.7
519,25.76,19.894,13.96,6.024,2.98,68.618
547,32.42,17.668,12.04,4.08,1.876,68.084
111,22.12,22.372,14.67,5.496,2.646,67.304
613,28.58,20.818,11.91,4.056,1.914,67.27799999999999
20,34.98,17.57,9.85,3.052,1.434,66.886
425,27.84,18.578,12.61,5.252,2.52,66.8
589,27.58,18.354,12.83,5.22,2.496,66.47999999999999
487,20.82,19.67,15.47,6.756,3.334,66.05
308,18.12,23.198,15.43,5.912,2.728,65.38799999999999
419,28.2,17.85,12.35,4.736,2.238,65.374
325,24.54,18.032,13.94,5.908,2.944,65.364
96,34.42,15.862,10.05,3.488,1.516,65.33600000000001
689,23.6,19.208,14.2,5.484,2.57,65.062
641,21.7,22.666,13.37,4.904,2.31,64.95
532,25.12,19.67,12.58,5.008,2.496,64.87400000000001
302,28.96,17.052,11.74,4.156,2.072,63.980000000000004
753,9.48,26.81,18.17,6.656,2.838,63.954
644,25.5,18.018,12.81,4.944,2.34,63.61200000000001
643,30.16,15.722,11.27,4.044,1.978,63.174
15,27.7,16.702,11.88,4.584,2.1,62.966
190,18.32,19.124,15.45,6.54,3.424,62.858000000000004
77,18.7,18.578,16.19,6.088,2.982,62.538000000000004
569,23.76,17.836,12.81,5.22,2.59,62.21600000000001
377,32.34,15.554,9.23,3.392,1.438,61.954000000000015
729,34.98,14.112,8.41,3.044,1.266,61.81199999999999
687,32.28,14.672,9.58,3.52,1.586,61.638
259,13.26,21.868,16.66,6.572,3.108,61.467999999999996
657,26.08,16.562,12.06,4.62,1.99,61.312
583,28.36,15.862,10.82,4.192,2.008,61.242000000000004
682,20.22,18.186,13.88,5.844,3.096,61.226
109,22.4,17.444,12.89,5.536,2.844,61.114
586,22.56,18.732,13.11,4.564,2.144,61.11
663,27.26,16.422,10.81,4.532,2.054,61.078
750,38.62,12.04,6.47,2.2,0.952,60.282
56,25.58,17.5,11.36,3.768,1.828,60.036
195,33.48,15.456,7.43,2.276,0.992,59.63399999999999
338,15.48,17.556,15.55,7.08,3.794,59.459999999999994
69,27.5,15.148,10.76,4.148,1.84,59.396
3,29.36,14.77,10.23,3.296,1.562,59.217999999999996
152,22.96,16.212,11.95,5.228,2.444,58.794000000000004
180,23.56,16.422,11.83,4.704,2.252,58.768
715,32.1,13.972,8.22,2.84,1.316,58.44800000000001
501,22.62,16.268,12.33,4.696,2.352,58.266
479,21.1,16.464,12.54,5.096,2.788,57.988
518,22.9,15.932,11.88,4.764,2.392,57.86800000000001
403,17.84,17.304,14.35,5.452,2.656,57.602
326,24.56,15.708,10.81,4.044,2.162,57.284
