,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
146,109.54,40.712,22.48,6.94,2.882,182.554
166,92.36,47.824,26.1,9.32,3.966,179.57
719,92.4,41.44,22.27,7.02,2.812,165.94200000000004
194,90.38,38.458,23.14,7.044,3.096,162.11800000000002
183,56.26,56.336,30.2,10.452,4.554,157.802
82,105.28,28.49,15.88,5.324,2.218,157.192
459,91.62,34.132,21.4,6.572,2.702,156.42600000000002
572,81.86,38.948,23.75,7.88,3.448,155.886
285,77.92,38.234,25.26,8.356,3.834,153.60399999999998
322,62.1,43.974,28.58,10.024,4.284,148.962
759,78.38,34.51,21.49,7.532,3.564,145.476
438,68.9,38.682,24.08,8.904,4.192,144.758
84,54.0,42.448,28.46,11.184,5.572,141.66400000000002
317,83.64,31.094,17.42,6.224,2.77,141.148
547,67.38,34.076,22.42,7.824,3.344,135.04399999999998
377,68.08,30.618,18.29,6.576,2.952,126.51599999999999
307,49.86,43.694,21.36,7.188,3.328,125.43
171,59.5,31.766,20.01,7.332,3.31,121.91799999999999
648,62.04,29.68,19.87,6.936,3.32,121.846
655,50.98,33.53,23.94,8.772,4.136,121.35799999999999
594,73.36,24.78,14.13,4.912,2.04,119.22200000000001
460,48.62,32.186,23.56,8.836,4.484,117.68599999999999
673,66.76,27.51,15.04,4.9,2.118,116.328
319,61.72,27.972,16.66,5.804,2.536,114.69200000000001
72,45.0,31.57,24.15,9.392,4.5,114.612
511,55.84,28.854,18.87,6.7,3.09,113.35400000000001
152,43.62,31.864,23.46,9.412,4.584,112.94
89,35.18,34.944,25.55,10.404,4.814,110.892
437,70.02,22.372,12.94,3.8,1.752,110.88399999999999
77,33.9,33.656,26.9,10.68,5.386,110.52199999999999
29,45.46,29.54,20.11,8.028,3.95,107.08800000000001
727,41.26,32.956,21.08,7.876,3.624,106.796
163,63.32,24.08,13.14,4.396,1.834,106.77000000000001
373,54.82,26.474,15.58,5.376,2.378,104.628
628,45.86,29.148,18.74,7.08,3.486,104.314
765,45.48,27.118,19.23,7.368,3.496,102.692
23,48.64,33.656,13.91,3.812,1.644,101.66199999999999
359,49.68,26.796,16.75,5.78,2.496,101.502
314,46.34,26.936,17.78,7.068,3.196,101.32000000000001
687,51.82,24.654,15.55,5.584,2.636,100.244
634,39.9,27.594,20.05,8.236,3.978,99.758
394,42.82,27.482,19.16,6.968,3.13,99.55999999999999
468,38.68,28.364,20.49,8.036,3.632,99.202
363,50.34,23.982,15.93,5.4,2.272,97.92400000000002
305,21.42,44.002,21.68,7.256,3.184,97.542
424,45.24,27.286,16.43,5.888,2.608,97.45200000000003
139,25.46,32.382,24.2,10.208,4.832,97.082
130,43.22,28.126,16.74,6.18,2.658,96.92399999999999
623,43.34,20.538,23.46,6.64,2.936,96.91399999999999
22,49.08,24.066,15.64,5.076,2.2,96.062
121,39.02,29.008,18.18,6.612,3.12,95.94
331,43.06,25.76,16.93,6.328,2.91,94.988
151,59.92,18.326,11.35,3.472,1.56,94.628
335,38.88,25.564,19.08,7.22,3.816,94.56
345,49.28,23.828,14.49,4.744,2.196,94.538
731,49.56,22.498,14.36,4.912,2.19,93.52000000000001
585,42.32,24.304,16.7,6.136,2.75,92.21
636,31.88,27.342,20.83,8.272,3.876,92.2
107,29.76,27.09,21.64,8.784,4.494,91.76800000000001
113,33.84,36.932,14.79,4.38,1.692,91.634
591,40.08,25.55,16.14,6.232,3.09,91.092
665,43.5,24.346,14.83,5.636,2.576,90.88799999999999
537,38.54,24.15,17.9,6.924,3.23,90.74400000000001
35,37.92,30.534,14.81,4.864,2.056,90.18400000000001
365,50.64,20.972,12.37,4.152,1.892,90.026
45,48.7,22.946,12.34,4.172,1.844,90.002
657,39.1,25.186,16.1,6.34,3.062,89.788
421,34.72,25.872,18.13,7.1,3.506,89.32799999999999
500,46.06,22.484,13.87,4.644,2.224,89.28200000000002
382,35.72,28.224,17.07,5.544,2.37,88.92800000000001
19,38.76,27.23,15.01,5.36,2.336,88.696
746,28.78,27.034,20.8,8.128,3.862,88.604
434,44.88,22.064,14.17,4.936,2.146,88.19600000000001
478,24.04,26.446,22.16,9.924,5.182,87.752
575,39.98,23.45,15.76,5.664,2.67,87.524
701,42.6,23.072,13.91,4.752,2.096,86.42999999999999
338,21.8,24.71,23.94,10.236,5.3,85.986
425,37.04,22.778,16.59,6.456,3.116,85.98
454,37.64,23.45,15.71,6.308,2.766,85.87400000000001
225,32.5,27.622,17.01,6.092,2.58,85.804
3,42.52,21.182,14.17,5.004,2.24,85.116
309,41.8,21.588,13.92,5.108,2.166,84.582
663,37.02,22.596,15.68,6.252,2.886,84.43399999999998
97,29.68,25.102,18.14,7.48,3.778,84.18
552,48.16,19.726,10.89,3.668,1.556,84.0
456,43.66,21.028,12.43,4.604,2.052,83.774
440,40.12,21.784,13.76,5.004,2.184,82.852
20,42.2,22.736,11.47,4.092,1.634,82.132
238,29.66,25.718,17.15,6.372,3.03,81.92999999999999
349,40.56,20.776,13.16,4.94,2.286,81.722
462,50.3,16.576,9.64,3.156,1.364,81.03600000000002
100,36.18,24.85,12.48,4.296,2.002,79.808
