,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Total
285,626.06,447.244,253.34,86.448,36.866,1449.9579999999999
719,783.84,329.81199999999995,139.24,38.108000000000004,13.662,1304.662
417,726.4,46.592,15.57,3.016,0.99,792.568
356,124.76,120.52600000000001,103.97,42.11600000000001,20.227999999999998,411.6
680,343.86,34.006,10.06,2.148,0.7340000000000001,390.80800000000005
111,105.22,120.008,71.41,24.855999999999998,11.386,332.88000000000005
182,102.52,101.61200000000001,64.64,23.668000000000003,10.462,302.902
41,122.84,70.462,44.77,16.16,7.426,261.658
628,110.86,72.33800000000001,47.73,17.204,8.008,256.14
307,134.38,58.534,35.07,11.936,5.212000000000001,245.132
35,106.52,70.868,36.63,11.508,4.982,230.508
394,89.46,62.958,42.7,16.428,7.754,219.3
682,82.78,61.95,44.73,17.488,8.362,215.31
454,83.52,55.482,34.62,13.044,5.992000000000001,192.658
153,88.5,52.303999999999995,32.85,11.944,5.38,190.978
112,94.46,50.176,30.86,10.524000000000001,4.734,190.75400000000002
440,88.22,51.1,32.91,11.796,5.246,189.27200000000002
238,66.3,58.016000000000005,40.82,15.588,7.364,188.088
479,78.32,49.84,35.84,13.884,6.766,184.65
335,60.24,56.54600000000001,41.77,16.372,7.772,182.7
304,66.2,54.488,38.36,13.847999999999999,6.59,179.48600000000005
97,58.56,51.94,38.05,15.0,7.314,170.864
163,98.92,39.27,20.84,6.696000000000001,2.8819999999999997,168.608
190,46.42,52.43,42.47,17.9,8.718,167.938
580,74.36,45.023999999999994,28.01,9.732000000000001,4.476,161.602
23,73.96,53.592,21.96,5.707999999999999,2.318,157.53799999999998
667,30.96,46.13,45.7,21.956,11.57,156.316
345,77.28,39.592,24.04,8.672,3.79,153.374
687,77.1,37.772,23.77,8.14,3.8939999999999997,150.67600000000002
478,41.88,44.086000000000006,38.05,16.344,8.912,149.27200000000005
113,48.22,63.68600000000001,26.53,6.928,2.562,147.92600000000004
100,51.36,54.656000000000006,27.3,8.852,3.8939999999999997,146.062
487,33.94,47.95,38.55,16.912,8.372,145.724
460,53.72,42.266000000000005,30.81,12.308,5.756,144.86
84,50.68,42.602,31.87,12.368,6.074,143.59400000000005
146,66.06,41.02,24.68,7.612,3.1319999999999997,142.50400000000005
104,54.56,42.461999999999996,28.25,10.34,4.748,140.36
240,44.34,41.943999999999996,32.81,12.984000000000002,5.982,138.06
365,71.28,34.146,21.83,7.332000000000001,3.26,137.84799999999998
166,52.62,40.894,27.59,9.84,4.364,135.308
670,35.56,40.138000000000005,33.97,14.52,7.8,131.988
446,48.44,40.6,27.13,9.584,4.794,130.548
20,72.94,33.53,16.73,4.896,2.092,130.18800000000002
107,37.42,37.548,33.99,13.42,6.843999999999999,129.222
151,78.7,26.278000000000002,15.22,5.02,2.272,127.49
433,39.82,35.854,30.99,13.556,6.62,126.84
552,66.68,32.984,18.08,5.972,2.552,126.268
499,25.16,36.694,36.19,15.92,8.276,122.24
563,41.98,37.828,26.09,9.652000000000001,4.262,119.81200000000001
643,55.1,31.206,21.47,7.852,3.784,119.412
625,51.58,33.978,21.32,8.42,3.7,118.998
194,49.3,34.594,23.27,8.044,3.658,118.866
449,,61.95,37.36,13.14,5.972,118.42200000000001
729,60.72,30.631999999999998,17.64,5.848,2.66,117.5
343,42.66,34.44,25.46,9.868,4.834,117.262
616,37.36,37.324,26.95,10.62,4.876,117.13
31,34.56,32.732,29.23,13.187999999999999,6.966,116.676
665,52.48,31.906,20.21,7.388,3.47,115.454
439,7.48,24.164,39.36,26.432,17.854,115.29
16,35.5,34.902,27.21,11.66,5.702000000000001,114.974
572,39.86,35.812,25.34,8.98,3.778,113.77
650,41.46,33.488,24.08,9.46,4.592,113.08
675,67.4,25.816,13.37,4.14,1.766,112.49200000000002
308,29.82,41.93,26.01,9.44,4.6819999999999995,111.882
317,61.44,25.256,15.08,5.468,2.19,109.434
759,51.46,29.204,18.98,6.4639999999999995,3.0439999999999996,109.152
225,45.14,33.614000000000004,19.44,7.024,3.292,108.51
459,45.98,30.324,20.56,6.9479999999999995,2.968,106.78000000000002
290,55.8,29.791999999999998,14.45,4.548,1.916,106.506
468,31.32,31.261999999999997,26.25,10.512,5.438,104.78200000000001
89,37.18,30.59,22.15,8.847999999999999,4.4639999999999995,103.232
585,43.04,27.958000000000002,18.94,7.707999999999999,3.574,101.21999999999998
43,25.48,29.035999999999998,26.65,11.692,6.204,99.06200000000001
299,44.96,27.426,17.13,6.028,2.918,98.462
758,29.1,29.68,24.38,10.052,5.118,98.32999999999998
94,61.78,20.37,10.63,3.548,1.386,97.714
230,28.34,29.988000000000003,24.15,9.976,5.018,97.472
425,32.86,29.441999999999997,21.15,8.512,4.328,96.292
746,36.26,27.622,20.08,8.164,3.898,96.024
45,50.84,23.478,14.39,4.792,2.068,95.568
109,28.36,28.014,23.89,10.248,4.974,95.486
760,17.46,30.184,29.26,12.24,6.0520000000000005,95.196
244,35.28,25.802,20.3,7.76,4.024,93.166
121,34.04,30.226,18.15,6.728,3.008,92.152
500,34.34,27.468000000000004,18.72,6.648,3.214,90.39
547,41.54,24.234,15.58,5.32,2.628,89.302
637,37.6,24.836,16.55,5.88,2.766,87.632
271,59.96,15.526,7.93,2.5639999999999996,1.054,87.03399999999998
327,51.78,20.174,10.18,3.4,1.486,87.02000000000002
634,29.9,24.738000000000003,20.0,8.232000000000001,3.8480000000000003,86.71799999999999
150,31.96,24.654,17.97,7.136,3.426,85.146
636,28.12,24.878,19.7,7.9079999999999995,4.05,84.656
653,0.32,51.198,23.86,6.688,2.44,84.506
663,28.4,25.634,18.81,7.676,3.628,84.148
693,36.94,22.596,15.66,5.756,2.6639999999999997,83.616
101,12.84,23.618000000000002,25.9,13.16,7.322,82.84
183,21.36,28.42,20.13,7.572,3.742,81.22399999999999
385,25.02,24.388,19.2,8.144,3.984,80.736
511,34.1,21.112,14.89,5.932,2.6839999999999997,78.718
409,26.42,21.462,18.63,7.608,3.946,78.066
445,20.06,23.184,20.8,9.132,4.508,77.684
379,30.62,22.974,15.62,5.572,2.6039999999999996,77.39
704,11.56,22.274,24.19,12.136,6.93,77.09
765,23.46,23.184,18.35,7.76,3.738,76.492
551,26.18,25.9,15.53,6.0760000000000005,2.59,76.27600000000001
623,27.98,14.658,22.97,7.428,2.998,76.03399999999999
73,40.82,18.605999999999998,10.93,3.908,1.652,75.916
21,31.88,21.112,14.57,5.04,2.2159999999999997,74.818
195,43.56,17.276,9.49,3.076,1.334,74.73599999999998
157,46.94,16.002,7.56,2.344,1.078,73.92399999999998
306,28.56,22.274,14.72,5.68,2.614,73.84800000000001
364,12.74,38.71,15.21,4.78,1.9240000000000002,73.36399999999999
326,21.54,22.75,18.05,7.252000000000001,3.594,73.18599999999998
657,21.1,22.736,18.54,7.26,3.548,73.184
34,38.68,17.934,10.55,3.98,1.636,72.78
503,34.26,18.634,12.71,4.876,2.21,72.69
407,15.78,22.484,20.68,8.847999999999999,4.848,72.64
641,25.64,24.36,14.39,5.3839999999999995,2.4,72.17399999999999
727,12.8,25.564,20.92,8.44,4.0760000000000005,71.8
600,,29.386,27.02,10.436,4.8260000000000005,71.66799999999998
362,49.44,12.81,6.02,1.7719999999999998,0.742,70.78399999999999
465,14.94,22.904,20.14,8.427999999999999,4.238,70.65
288,26.36,19.628,15.47,5.932,3.1919999999999997,70.582
371,31.18,19.32,13.19,4.4239999999999995,2.166,70.28
103,,24.191999999999997,23.38,11.692,6.593999999999999,65.858
516,24.26,20.831999999999997,13.01,4.96,2.4419999999999997,65.50399999999999
414,13.94,20.034000000000002,18.63,8.48,4.382,65.46600000000001
360,17.44,19.067999999999998,16.83,7.292000000000001,3.77,64.4
753,8.88,25.956,18.61,6.472,2.892,62.81
40,15.86,17.822,16.83,7.803999999999999,4.246,62.56200000000001
233,16.44,18.465999999999998,15.68,7.367999999999999,3.946,61.90000000000001
421,18.3,18.13,15.52,6.5920000000000005,3.208,61.75
131,12.82,17.416,16.12,7.6160000000000005,4.412,58.38399999999999
284,25.76,15.26,10.98,3.748,1.98,57.728
655,18.64,17.01,13.1,5.324,2.6639999999999997,56.73800000000001
181,21.54,17.136,11.35,4.416,2.112,56.55400000000001
723,24.98,15.456,10.17,3.984,1.804,56.39400000000001
302,20.68,16.016,12.14,4.584,2.386,55.806
254,7.34,17.387999999999998,18.56,8.236,4.164,55.688
210,15.3,15.582,14.53,6.556,3.636,55.604
118,18.82,15.148,12.54,5.608,2.95,55.066
82,29.44,13.524000000000001,7.72,2.628,1.156,54.468
259,10.14,19.74,14.62,6.524,3.236,54.26
274,34.62,10.835999999999999,6.04,1.9240000000000002,0.752,54.172
586,12.44,20.846,12.86,5.004,2.316,53.466
484,23.48,16.366,8.92,3.0,1.334,53.10000000000001
633,19.96,14.868,10.97,4.4,2.206,52.403999999999996
